C,1,6,48
F,2,4,50
F,2,5,48
F,2,4,48
Am,3,4,52
Am,3,5,53
Am,3,4,52
G,4,5,50
G,4,4,52
G,4,4,50
C,5,6,48
F,6,4,50
F,6,5,48
F,6,3,48
F,6,3,50
Am,7,3,52
Am,7,5,53
Am,7,3,-1
Am,7,3,52
Am,7,3,50
G,8,4,50
G,8,4,52
G,8,4,50
G,8,4,48
C,9,6,48
F,10,2,55
F,10,2,52
F,10,2,53
F,10,2,52
F,10,3,50
F,10,3,48
F,10,4,50
F,10,4,48
Am,11,5,48
Am,11,4,43
Am,11,4,50
G,12,4,48
G,12,4,48
G,12,4,43
G,12,4,50
C,13,4,52
C,13,5,48
C,13,4,-1
F,14,4,48
F,14,4,57
F,14,4,55
F,14,4,53
Am,15,4,52
Am,15,4,53
Am,15,4,52
Am,15,4,45
G,16,5,48
G,16,5,43
